Date,Elec_Prod
May-72,5425
Jun-72,5706
Jul-72,6061
Aug-72,5846
Sep-72,5242
Oct-72,5408
Nov-72,5114
Dec-72,5042
Jan-73,5008
Feb-73,4657
Mar-73,5359
Apr-73,5193
May-73,5891
Jun-73,5980
Jul-73,6390
Aug-73,6366
Sep-73,5756
Oct-73,5640
Nov-73,5429
Dec-73,5398
Jan-74,5413
Feb-74,5141
Mar-74,5695
Apr-74,5554
May-74,6369
Jun-74,6592
Jul-74,7107
Aug-74,6917
Sep-74,6353
Oct-74,6205
Nov-74,5830
Dec-74,5646
Jan-75,5379
Feb-75,5489
Mar-75,5824
Apr-75,5907
May-75,6482
Jun-75,6795
Jul-75,7028
Aug-75,6776
Sep-75,6274
Oct-75,6362
Nov-75,5940
Dec-75,5958
Jan-76,5769
Feb-76,5887
Mar-76,6367
Apr-76,6165
May-76,6868
Jun-76,7201
Jul-76,7601
Aug-76,7581
Sep-76,7090
Oct-76,6841
Nov-76,6408
Dec-76,6435
Jan-77,6176
Feb-77,6138
Mar-77,6717
Apr-77,6470
May-77,7312
Jun-77,7763
Jul-77,8171
Aug-77,7788
Sep-77,7311
Oct-77,6679
Nov-77,6704
Dec-77,6724
Jan-78,6552
Feb-78,6427
Mar-78,7105
Apr-78,6869
May-78,7683
Jun-78,8082
Jul-78,8555
Aug-78,8386
Sep-78,7553
Oct-78,7398
Nov-78,7112
Dec-78,6886
Jan-79,7077
Feb-79,6820
Mar-79,7426
Apr-79,7143
May-79,8261
Jun-79,8240
Jul-79,8977
Aug-79,8991
Sep-79,8026
Oct-79,7911
Nov-79,7510
Dec-79,7381
Jan-80,7366
Feb-80,7414
Mar-80,7824
Apr-80,7524
May-80,8279
Jun-80,8707
Jul-80,9486
Aug-80,8973
Sep-80,8231
Oct-80,8206
Nov-80,7927
Dec-80,7999
Jan-81,7834
Feb-81,7521
Mar-81,8284
Apr-81,7999
May-81,8940
Jun-81,9381
Jul-81,10078
Aug-81,9796
Sep-81,8471
Oct-81,8572
Nov-81,8150
Dec-81,8168
Jan-82,8166
Feb-82,7903
Mar-82,8606
Apr-82,8071
May-82,9178
Jun-82,9873
Jul-82,10476
Aug-82,9296
Sep-82,8818
Oct-82,8697
Nov-82,8381
Dec-82,8293
Jan-83,7942
Feb-83,8001
Mar-83,8744
Apr-83,8397
May-83,9115
Jun-83,9773
Jul-83,10358
Aug-83,9849
Sep-83,9083
Oct-83,9143
Nov-83,8800
Dec-83,8741
Jan-84,8492
Feb-84,8795
Mar-84,9354
Apr-84,8796
May-84,10072
Jun-84,10174
Jul-84,11326
Aug-84,10744
Sep-84,9806
Oct-84,9740
Nov-84,9373
Dec-84,9244
Jan-85,9407
Feb-85,8827
Mar-85,9880
Apr-85,9364
May-85,10580
Jun-85,10899
Jul-85,11687
Aug-85,11280
Sep-85,10208
Oct-85,10212
Nov-85,9725
Dec-85,9721
Jan-86,9846
Feb-86,9407
Mar-86,10265
Apr-86,9970
May-86,10801
Jun-86,11246
Jul-86,12167
Aug-86,11578
Sep-86,10645
Oct-86,10613
Nov-86,10104
Dec-86,10348
Jan-87,10263
Feb-87,9973
Mar-87,10803
Apr-87,10409
May-87,11458
Jun-87,11845
Jul-87,12559
Aug-87,12070
Sep-87,11221
Oct-87,11338
Nov-87,10761
Dec-87,11012
Jan-88,10923
Feb-88,10790
Mar-88,11427
Apr-88,10788
May-88,11772
Jun-88,12104
Jul-88,12634
Aug-88,12772
Sep-88,11764
Oct-88,11956
Nov-88,11646
Dec-88,11750
Jan-89,11485
Feb-89,11198
Mar-89,12265
Apr-89,11704
May-89,12419
Jun-89,13259
Jul-89,13945
Aug-89,13839
Sep-89,12387
Oct-89,12546
Nov-89,12038
Dec-89,11977
Jan-90,12336
Feb-90,11793
Mar-90,12877
Apr-90,11923
May-90,13306
Jun-90,13988
Jul-90,14002
Aug-90,14336
Sep-90,12867
Oct-90,12721
Nov-90,12449
Dec-90,12686
Jan-91,12810
Feb-91,12015
Mar-91,12888
Apr-91,12431
May-91,13499
Jun-91,13014
Jul-91,14296
Aug-91,14125
Sep-91,12817
Oct-91,12862
Nov-91,12449
Dec-91,12489
Jan-92,12621
Feb-92,12380
Mar-92,13023
Apr-92,12302
May-92,13339
Jun-92,13825
Jul-92,14428
Aug-92,14151
Sep-92,13355
Oct-92,13094
Nov-92,12656
Dec-92,12435
Jan-93,13287
Feb-93,12434
Mar-93,13209
Apr-93,12817
May-93,13746
Jun-93,14259
Jul-93,14590
Aug-93,14354
Sep-93,13254
Oct-93,13464
Nov-93,13302
Dec-93,13456
Jan-94,13171
Feb-94,12517
Mar-94,13489
Apr-94,12509
May-94,13785
Jun-94,13921
Jul-94,14603
Aug-94,14749
Sep-94,13540
Oct-94,13457
Nov-94,13243
Dec-94,13590
Jan-95,13487
Feb-95,12776
Mar-95,13812
Apr-95,13032
May-95,14268
Jun-95,14473
Jul-95,15359
Aug-95,14457
